scientific_name,pronunciation,common_name,family_name,plant_type,key_id_features,habit,form,texture,height,spread,growth_rate,origin,climate,exposure,soil_or_growing_medium,water,landscape_uses,additional_info,leaf_form,leaf_arrangement,leaf_texture,leaf_surfaces,leaf_colour_in_summer,leaf_colour_in_fall,leaf_shapes,leaf_apices,leaf_bases,leaf_margins,inflorescence_type,petal_colour,flower_scent,flower_time,fruit_type,fruit_colour,fruiting_time,bark_morphology,bark_or_stem_colour,propagation,pest_susceptibility
Asplenium nidus,uh-SPLEE-nee-um NYE-duss,bird's-nest fern,Aspleniaceae,Indoor foliage plant,"Leaves furled at the tip, glossy, and dark green on the midrib.",Upright,Vase,Coarse,1.3 - 2.0m,0.6 - 1.0m,Fast,(Hawaii),Zone 10: (-1 to 4 C),"Full sun, Part sun/part shade",Acidic,Moderate,Indoor plant,no above ground stem,Simple,Basal,Soft flexible,Lustrous,Green,,"Lanceolate, Ovate",Acuminate,Sheathing,"Entire, Undulate (wavy)",n/a,No Flowers,,,Sporangium (spores),,,,n/a,"Seed, Division - below ground parts",Scale insects
Asplenium scolopendrium,uh-SPLEE-nee-um skull-ur-PEN-dree-um,Hart's tongue fern,Aspleniaceae,Fern,"Frond with entire, undulate margin (NO LOBES unless its a cv.!); sori cream colour , turning brown.","Arching, Upright","Oval - vertical, Vase",Medium,0.2 - 0.4m,0.3 - 0.6m,Slow,"Europe, U.S. - northeast",Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Full sun, Part sun/part shade","Alkaline, Well-drained",Low,"Accent plant, Alpine, Container planting, Cut flower or foliage, Dryland (no watering), Ground cover, Group or mass planting, Mixed shrub border, Rock garden, Small garden/space, Woodland margin",no above ground stem,Simple,Basal,Leathery,"Glabrous, Lustrous",Dark-green,Dark-green,Lanceolate,Acute,Cordate,"Entire, Undulate (wavy)",n/a,No Flowers,,,Sporangium (spores),,,,n/a,"Spore, Division - below ground parts","Pest resistant, Disease resistant, Abiotic disorder, Nematodes, Scale insects, Slugs or snails"
Aster spp. ( syn. Symphyotrichum ),ASS-tur (sim-fy-oh-TRY-kum),common aster,Asteraceae,Herbaceous perennial,"Clump-forming, multi-branched perennial; leaves long, narrow and sessile; flowers are white to purple and daisy-like in appearance, bloom late summer to mid autumn.",Spreading,Mounded,Fine,0.7 - 1.3m,0.6 - 1.0m,Fast,"Europe, North America, South America",Zone 4: (-34 to -29 C),Full sun,Well-drained,Moderate,"Dryland (no watering), Fall interest, Native planting, Perennial border",Not showy,Simple,Alternate,"Pinnate venation, Soft flexible",Pubescent,"Green, Nearly Black, Purple","Dark-red, Purple",Oblanceolate,Acute,Decurrent,"Entire, Serrulate","Floriferous, Corymb-like, Head (capitulum)","Showy, White, Pink, (Ray florets white, disk florets raspberry-red)",None,"Aug, Sep, Oct",Cypsela (achene + calyx),,,,,"Seed, Division - below ground parts","Mold, Fungal leaf spot, Slugs or snails, Nematodes, Mites, Rust, Rabbit resistant"
Aster x frikartii 'Monch',ASS-tur ex FRICK-art-ee-eye,Frikart aster,Asteraceae,Herbaceous perennial,"Leaves mid-green, alternate, sessile; flower heads with linear purple ray florets and compact yellow disc florets.","Arching, Open, Spreading",Oval - horizontal,Medium,0.4 - 0.7m,0.6 - 1.0m,Fast,Garden origin,Zone 5: (-29 to -23 C),Full sun,Well-drained,Low,"Attract butterflies, Container planting, Cut flower or foliage, Dryland (no watering), Filler, Group or mass planting, Mixed shrub border, Perennial border",Google,Simple,Alternate,Soft flexible,,Green,Green,Oblong,Acute,,Serrate,"Floriferous, Head (capitulum)","Showy, Yellow, Purple",Unpleasant,"Jul, Aug, Sep",Cypsela (achene + calyx),,,,,Division - below ground parts,"Aphids or adelgids, Canker or sap rot, Fungal leaf spot, Mildew, Mold, Root rot, Rust, Slugs or snails, Wilt, Rabbit resistant"
Aster alpinus,ASS-tur al-PYE-nuss,alpine aster,Asteraceae,Herbaceous perennial,"Plants up to 30 cm tall; flowers daisy-like to 5 cm wide, yellow disk florets and blue-violet ray florets (may also be pink, violet-lavender, dark purple-black, or white-near white depending on cv.).",Upright,Mounded,Medium,0.2 - 0.4m,0.3 - 0.6m,Moderate,"B.C. west of Cascades, Europe, U.S. - northwest",Zone 5: (-29 to -23 C),Full sun,,,"Attract beneficial insects, Dryland (no watering), Fall interest, Perennial border, Rock garden",Google Confirm ID of images of the tall specimen that was once in AGB.,Simple,"Alternate, Basal",Soft flexible,Pubescent,,,"Oblanceolate, Spatulate","Acute, Rounded",Attenuate,Serrulate,Head (capitulum),"Showy, Violet, Yellow, White, Purple, Black, Pink",None,"Jun, Jul",Cypsela (achene + calyx),Brown,"Aug, Sep",,Bark or Stem Colour,,"Pest resistant, Disease resistant, Rabbit resistant, Mildew, Wilt, Slugs or snails"
Astilbe x arendsii,uh-STILL-bee ex ar-END-ee-eye,hybrid astilbe,Saxifragaceae,"Flowering cut plant, Herbaceous perennial","Florets small and numerous, purple to white, on pyramidal panicle; leaves 2-3x compound, leaflets toothed, rachis/ petiole dark-red and swollen at 'nodes'.",Stiffly upright,Oval - vertical,Medium,0.4 - 0.7m,0.3 - 0.6m,Fast,Garden origin (hybrid),Zone 4: (-34 to -29 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Moderate,"Aquatic - ponds, Cut flower or foliage, Dryland (no watering), Floristry, Group or mass planting, Perennial border, Rock garden, Spring interest, Summer interest, Waterside planting, Winter interest, Woodland margin","Showy, Persistent, dried flowers are decorative thru winter",Compound,Alternate,"Heavily veined, Pinnate venation, Soft flexible",Glabrous,"Green, Dark-green",Yellow,Ovate,"Acute, Aristate","Attenuate, Oblique (uneven)","Dentate, Incised","Floriferous, Panicle","Showy, White, Pink, Purple, Red",,"Jul, Aug","Follicle, Aborted (hybrids) or absent","Pink, Purple","Sep, Oct",,,,Rabbit resistant
Astilbe hybrids,uh-STILL-bee,"hybrid astilbe, garden astilbe",Saxifragaceae,"Herbaceous perennial, Flowering cut plant","Florets small and numerous, purple to white, on pyramidal panicle; leaves 2-3x compound, leaflets toothed, rachis/ petiole dark-red and swollen at 'nodes'.",Stiffly upright,Oval - vertical,Medium,0.4 - 0.7m,0.3 - 0.6m,Fast,Garden origin (hybrid),Zone 4: (-34 to -29 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Moderate,"Aquatic - ponds, Cut flower or foliage, Floristry, Group or mass planting, Perennial border, Rock garden, Spring interest, Summer interest, Waterside planting, Winter interest, Woodland margin","Showy, Persistent, dried flowers are decorative thru winter",Compound,Alternate,"Heavily veined, Pinnate venation, Soft flexible",Glabrous,"Green, Dark-green",Yellow,Ovate,"Acute, Aristate","Attenuate, Oblique (uneven)","Dentate, Incised","Floriferous, Panicle","Showy, Pink, Purple, Red, White",,"Jul, Aug","Follicle, Aborted (hybrids) or absent","Pink, Purple","Sep, Oct",,,,Rabbit resistant
Astilbe chinensis,uh-STILL-bee chye-NEN-sis,Chinese astilbe,Saxifragaceae,Herbaceous perennial,Leaf is pinnately compound with 3-5 verry serrated leaflets; flower panicle is pinkish-purple.,Stiffly upright,Oval - vertical,Medium,0.4 - 0.7m,0.6 - 1.0m,Fast,,Zone 4: (-34 to -29 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,"Aquatic, High, Moderate, Wetlands","Aquatic - ponds, Ground cover, Group or mass planting, Mixed shrub border, Perennial border, Waterside planting, Wetland - bogs, Woodland margin",Not showy,Compound,Alternate,Prickly,Pubescent,Green,Green-yellow,Ovate,,,Serrate,"Floriferous, Panicle","Showy, White, Pink, Red",None,"Jul, Aug",Capsule,Brown,"Aug, Sep, Oct",,,Division - below ground parts,"Fungal leaf spot, Rabbit resistant"
Astilboides tabularis,uh-still-bow-EYE-deez tab-you-LAIR-iss,shieldleaf rodgersia,Saxifragaceae,Herbaceous perennial,"Leaves large, basal (similar to Rodgersia); florets tiny, white, and in spikes (similar to Astilbe).",Arching,Mounded,Very coarse,0.7 - 1.3m,1.0 - 1.5m,Moderate,,Zone 5: (-29 to -23 C),"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",,"Waterside planting, Woodland margin",Fruit insignificant,Simple,Alternate,"Palmate venation, Soft flexible",Pubescent,"Green, light green",,Orbicular,Rounded,Peltate,Palmately lobed,Panicle,"White, (creamy white)",,"Jun, Jul",,"Brown, Green","Aug, Sep",,Bark or Stem Colour,,"Pest resistant, Disease resistant, Slugs or snails"
Astrantia major,uh-STRAN-shuh MAY-jur,"masterwort, astrantia",Apiaceae,Herbaceous perennial,"Clump-forming herbaceous perennial; leaves basal, palmately lobed leaves; florets small and in compact umbels surrounded by a rosette of showy bracts on branched, erect, wiry peduncles.","Spreading, Upright",Oval - vertical,Medium - coarse,0.4 - 0.7m,0.3 - 0.6m,Fast,"Europe, Garden origin",Zone 3: (-40 to -34 C),"Full sun, Part sun/part shade",Well-drained,Low,"Accent plant, Container planting, Cut flower or foliage, Dried flower or fruit, Perennial border, Summer interest, Waterside planting, Woodland margin","Not showy, many fruit clustered together subtended by the persistent bracts","Lobed, Simple",Basal,"Palmate venation, Soft flexible",Glabrous,"Green, Green-yellow, images are of A. 'Sunningdale Variegated': lvs green and cream white",,Orbicular,Rounded,Sagittate,"Ciliate, Dentate, Palmately lobed, Serrulate","Floriferous, Corymb-like, Umbel","Showy, White, Pink",None,"Jun, Jul, Aug",Schizocarp,,"Aug, Sep",,,Division - below ground parts,"Mold, Slugs or snails"
Athyrium filix-femina,uh-THEER-ee-um FYE-licks FEM-ih-nuh,lady fern,Athyriaceae,Fern,"Fronds deciduous, thrice pinnate, elliptical, grooved rachis, up to 90 cm long, stipe may have long, brown papery scales near the base, arising from a clump (not along a rhizome); sori dot-like on undersides of pinnae, up to 6 per pinnule, indusium light brown, kidney-shaped.",Arching,Vase,Fine,1.3 - 2.0m,1.0 - 1.5m,Fast,B.C. east of Cascades,Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Full sun, Part sun/part shade","Bog, Humus rich","Moderate, Wetlands","Group or mass planting, Waterside planting, Wetland - bogs, Woodland margin (Caution: poisonous parts)",no stem,"Compound, Fern-like",Basal,Soft flexible,Glabrous,"Green, olive green with a metallic sheen, stems are burgundy","Yellow, Brown","Elliptic, Oblanceolate",,,Pinnately lobed,n/a,No Flowers,,,Sporangium (spores),"Brown, Dark-red","Jul, Aug",,n/a,"Spore, Division - below ground parts","Pest resistant, Disease resistant, Rust, Rabbit resistant"
Athyrium niponicum var. pictum,uh-THEER-ee-um nih-PON-ih-kum variety PICK-tum,Japanese painted fern,Athyriaceae,Fern,"Frond delicate, rachis purple, cream and metallic variegation.","Arching, Spreading, Upright",Vase,Medium,0.4 - 0.7m,0.3 - 0.6m,Fast,Garden origin,Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Low,"Accent plant, Alpine, Container planting, Cut flower or foliage, Ground cover, Group or mass planting, Mixed shrub border, Small garden/space, Specimen plant, Summer interest, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,Soft flexible,Glabrous,"Green, olive green with a metallic sheen, stems are burgundy",,"Lanceolate, Oblong",Acute,Decurrent,Pinnately lobed,n/a,No Flowers,,,Sporangium (spores),Brown,"Aug, Sep",,n/a,"Division - below ground parts, Spore","Pest resistant, Disease resistant, Rust, Deer resistant"
Aubrieta x cultorum,aw-bree-EH-tuh ex kull-TORE-um,common rock cress,Brassicaceae,Herbaceous perennial,,Epiphytic,Creeping / Mat-like,Medium - fine,0.1 - 0.2m,0.3 - 0.6m,Fast,Garden origin,Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade",,,"Dryland (no watering), Perennial border, Rock garden, Spring interest",Fruit insignificant,Simple,Alternate,Soft flexible,Pubescent,"Green, Silver / Grayish",,Oblong,Rounded,Attenuate,Dentate,,"White, Violet, Pink, Purple, Red",,"Apr, May","Aborted (hybrids) or absent, Silique",,,,Bark or Stem Colour,,Deer resistant
Aucuba japonica 'Variegata',aw-KEW-buh juh-PON-ih-kuh,variegated aucuba,Cornaceae,Broadleaf evergreen,"Large, round, evergreen shrub; stem lenticels prominent; leaves large, opposite, glossy, and green with 'splatter-paint' yellow specks.","Dense, Stiffly upright",Round,Medium - coarse,2 - 3m,2 - 3m,Moderate,(Japan),Zone 7: (-18 to -12 C),"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Low,"Accent plant, Mixed shrub border, Screening, Specimen plant, Winter interest","Showy, poisonous",Simple,Opposite,"Leathery, Pinnate venation","Glabrous, Lustrous","Green, Yellow","Yellow, Green","Elliptic, Ovate",Acuminate,Obtuse,Dentate,Panicle,"Not showy, Dark-red",None,"May, Jun",Drupe,Red,"Jan, Feb, Mar, Apr, May",Multi-stem trunk,Green,"Seed, Division - below ground parts, Greenwood cuttings, Softwood cuttings",Root rot
Aucuba japonica,aw-KEW-buh juh-PON-ih-kuh,"Japanese aucuba, Japanese laurel",Cornaceae,Broadleaf evergreen,"Large, round, evergreen shrub; leaves large, opposite, glossy, and green with 'splatter-paint' yellow specks: lenticels prominant.","Dense, Stiffly upright",Round,Medium - coarse,2 - 3m,2 - 3m,Moderate,(Japan),Zone 7: (-18 to -12 C),"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Low,"Accent plant, Dryland (no watering), Mixed shrub border, Screening, Specimen plant, Winter interest","Showy, poisonous",Simple,Opposite,"Leathery, Pinnate venation","Glabrous, Lustrous","Green, Yellow","Green, Yellow","Elliptic, Ovate",Acuminate,Obtuse,Dentate,Panicle,"Not showy, Dark-red",None,"May, Jun",Drupe,Red,"Jan, Feb, Mar, Apr, May",Multi-stem trunk,Green,"Seed, Greenwood cuttings, Softwood cuttings, Division - below ground parts","Root rot, Mold, Rabbit resistant"
Aurinia saxatilis,aw-RIN-ee-uh sacks-AT-ih-liss,"perennial alyssum, basket-of-gold, gold dust alyssum",Brassicaceae,"Broadleaf evergreen, Ground cover","Small, mounding perennial found in full sun in rocky, poor soils; leaves spatulate, gray-green glaucus; flowers butter yellow with four petals and formed in a panicle.",,,,0.1 - 0.2m,0.1 - 0.3m,,Europe,Zone 4: (-34 to -29 C),Full sun,"Rocky or gravelly or dry, Well-drained",Low,"Dryland (no watering), Perennial border, Rock garden",to 1.5 cm wide,Simple,Basal,Soft flexible,Pubescent,,,Obovate,,,,Panicle,Yellow,,"May, Jun",Silique,,,,Bark or Stem Colour,Seed,"Aphids or adelgids, Deer resistant"
Azolla filiculoides,uh-ZOLL-uh fih-lick-you-loe-EYE-deez,"Fairy moss, mosquito fern",Salviniaceae,"Aquatic plant, Fern, Herbaceous perennial",Rapidly expanding on still water surfaces; fronds forming moss-like mats of foliage about 1 cm tall.,"Horizontal, Spreading",Creeping / Mat-like,Fine,< 0.1m,< 0.1m,Fast,"North America, South America",Zone 7: (-18 to -12 C),"Full sun, Part sun/part shade",,Aquatic,Aquatic - ponds,no stem,"Fern-like, Lobed, Simple",Imbricate,Soft flexible,Pubescent,"Green, Pink, Purple, bright green but may develop purplish-rose tints in full sun and then reddish-purple in fall","Purple, Red",Reniform,Rounded,Rounded,Entire,n/a,No Flowers,,,Sporangium (spores),,,,n/a,Eye (leaf bud) cuttings,"Pest resistant, Disease resistant"
Beaucarnea recurvata,bow-KAR-nee-uh ree-kur-VAY-tuh,ponytail palm,Asparagaceae,Indoor foliage plant,"Leaves long, very narrow, linear but curve back on themselves near tips; stem single, swollen at base.",Arching,Vase,Medium,1.3 - 2.0m,1.5 - 2.0m,Slow,Mexico,Zone 10: (-1 to 4 C),Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Low,"Container planting, Indoor plant",Fruit insignificant,"Grass-like, Simple","Basal, Spiraled",Parallel venation,Glabrous,Green,,Lanceolate,Acuminate,,Entire,Panicle,"Not showy, White",,,,,,Single stem trunk,Brown,Greenwood cuttings,"Root rot, Scale insects"
Begonia x hybrida 'Dragon Wing',beh-GOHN-yuh,Dragon Wing red begonia,Begoniaceae,"Annual, Flowering pot plant",Male flowers (2 petals) and female flowers (5 petals) on same plant that both droop.,"Arching, Upright",Oval - horizontal,Coarse,0.4 - 0.7m,0.3 - 0.6m,Fast,Garden origin (F1 hybrid between a wax begonia and an angel wing begonia),Zone 9: (-7 to -1 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",High,"Accent plant, Bedding plant, Container planting, Hanging basket, Summer interest",Not showy,Lobed,Alternate,"Leathery, Succulent",Lustrous,Dark-green,,Other,Acute,Cordate,"Crenate, Serrate","Floriferous, Corymb-like, Cyme","Showy, Dark-red",None,"May, Jun, Jul, Aug, Sep, Oct",,,,Smooth,Green,Division - below ground parts,Slugs or snails
Begonia x tuberhybrida,beh-GOHN-yuh ex too-bur-HI-brid-ah,tuberous begonia,Begoniaceae,"Annual, Flowering pot plant, Succulent or Cacti","Annual to 30cm; leaves thick, pubescent, undulating, doubly-serrate, deltoid; petiole thick, pinkish, comes off one side; flowers male or female flowers in firey colours.","Pendulous, Upright",Mounded,Coarse,0.2 - 0.4m,0.1 - 0.3m,Moderate,South America,Zone 10: (-1 to 4 C),Deep shade,Well-drained,Moderate,"Bedding plant, Hanging basket",Usually doubles; some cvs. with frilled petals.,Simple,Alternate,Soft flexible,Lustrous,"Green, Dark-green, Bronze",,Ovate,Acute,Oblique (uneven),Incised,Cyme,"Showy, Yellow, Orange, Pink, Red",,"Jun, Jul, Aug, Sep",,,,,,"Seed, Division - below ground parts","Blight or needle cast, Mildew, Mites, Root rot, Thrips"
Begonia x hiemalis,beh-GOHN-yuh ex hie-MAL-is,"Hiemalis begonia, Rieger begonia",Begoniaceae,Flowering pot plant,Leaves are glossy and serrated; stems are reddish and fleshy; flowers arrange in clusters of 3 at the tips of stems.,Upright,"Mounded, Oval - vertical",Medium,0.2 - 0.4m,0.3 - 0.6m,Fast,,Zone 10: (-1 to 4 C),"Full sun, Part sun/part shade",Well-drained,Moderate,"Hanging basket, Indoor plant",Google Images,"Lobed, Simple","Alternate, Sessile",Succulent,Lustrous,"Green, Dark-green",,Ovate,Acute,Oblique (uneven),Pinnately lobed,Cyme,"Showy, White, Yellow, Orange, Pink, Purple, Red",,"Mar, Jun",,,,,,"Softwood cuttings, Stem tip cuttings","Blight or needle cast, Mildew, Mites, Thrips"
Begonia corallina ( syn. B. maculata ),beh-GOHN-yuh kore-all-LINE-ah,angel wing begonia,Begoniaceae,Indoor foliage plant,Multi-stemmed with bamboo-like joints (ringed nodes); leaves asymmetrical; flowers pendulous.,"Pendulous, Spreading","Irregular, Weeping",Medium,0.4 - 0.7m,0.6 - 1.0m,Moderate,South America (Brazil),Zone 9: (-7 to -1 C),"Full sun, Part sun/part shade",Well-drained,Low,Indoor plant,Google . The Plant List considers this a synonym of B. maculata . Compare to the more common B. coccinea .,Simple,Alternate,Soft flexible,Lustrous,"Green, White spots.",,Deltoid,Acute,Oblique (uneven),Dentate,,Red,,"Mar, Nov",,,,,,Stem tip cuttings,"Mites, Mildew"
Begonia masoniana,beh-GOHN-yuh mas-oh-nee-AH-uh,iron cross begonia,Begoniaceae,Indoor foliage plant,Heart-shaped leaves that have a chocolate brown cross like pattern in the center and with a green outer surrounding.,"Dense, Upright",Mounded,Coarse,0.4 - 0.7m,0.3 - 0.6m,,(New Guinea),Zone 11: (above 4 C),"Part sun/part shade, Sheltered","Acidic, Alkaline, Well-drained",Low,Indoor plant,Google Images,Simple,Alternate,"Prickly, Soft flexible","Glandular hairs, Rugose","Green, Brown, Dark blotch in centre",,"Ovate, Reniform",Acute,Oblique (uneven),Dentate,,White,,,,,,,,Softwood cuttings,"Mites, Root rot"
Begonia rex (hybrids and cvs.),beh-GOHN-yuh wrecks,rex begonia,Begoniaceae,Indoor foliage plant,"Grown for its interesting leaf patterns which can vary in appearance from spotted, streaked, bordered and splotched depending on the cultivar.","Dense, Spreading, Upright",Mounded,Medium - coarse,0.2 - 0.4m,0.3 - 0.6m,Slow,,Zone 10: (-1 to 4 C),"Part sun/part shade, Sheltered",Well-drained,Low,Indoor plant,"Leaves variegated, Stiff hairs undersides, petioles.",Simple,Basal,"Heavily veined, Pinnate venation, Prickly, Soft flexible","Branching hairs, Lustrous","Green, Pink, Red, Dark-green, Dark-red, Many cvs., with spots, zonation, etc.",,Ovate,Acute,Oblique (uneven),Dentate,,Not showy,,,,,,,,Softwood cuttings,"Mites, Root rot"
Begonia semperflorens cultorum hybrids,bih-GOE-nya sem-per-FLOR-enz,"wax begonia, fibrous begonia",Begoniaceae,Annual,"Leaves green or bronze, succulent; flowers white, red, or pink.",Upright,Mounded,Medium,0.1 - 0.2m,0.1 - 0.3m,Slow,South America,Zone 10: (-1 to 4 C),"Full sun, Part sun/part shade",Well-drained,Moderate,"Bedding plant, Container planting, Dryland (no watering), Summer interest",Fruit insignificant,Simple,Alternate,"Pinnate venation, Succulent","Lustrous, Pubescent","Green, Bronze",,Ovate,Obtuse,,"Ciliate, Dentate","Floriferous, Cyme","Showy, White, Pink, Red",None,"Jun, Jul, Aug, Sep",Capsule,Brown,"Oct, Nov",,,"Seed, Cuttings",Thrips
Bellis perennis,BEL-liss per-EN-is,English daisy,Asteraceae,"Herbaceous perennial, Weed (horticultural)","Low growing, often weedy in lawns; leaves toothed, spatulate; flower heads white (pink or red cultivars exist).",Upright,Round,Medium - fine,0.1 - 0.2m,0.1 - 0.3m,Fast,Europe,Zone 4: (-34 to -29 C),Full sun,Well-drained,Moderate,"Perennial border, Rock garden",Not showy,Simple,Alternate,Soft flexible,,Green,,"Oblanceolate, Obovate, Spatulate",Rounded,Attenuate,"Entire, Serrate",Head (capitulum),"Showy, White, Pink, Red",None,"Mar, Apr, May",Achene,Brown,"Jun, Jul",,,Seed,Fungal leaf spot
Berberis x gladwynensis 'William Penn',BUR-bur-iss ex glad-win-EN-sis,William Penn barberry,Berberidaceae,Broadleaf evergreen,"Branches arching, mound forming habit; leaves whorled, sometimes of differing sizes, margins spiny; nodes with long, three-pointed, spiny stipule with each point to 2.5 cm long (B. julianae has even longer spines).","Arching, Dense, Twiggy, Upright","Mounded, Oval - horizontal",Medium,0.7 - 1.3m,1.0 - 1.5m,Moderate,Garden origin,Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Low,"Attract birds, Dryland (no watering), Fall interest, Filler, Hedge row, Mixed shrub border, Security/barrier, Sheared hedge, Specimen plant, Spring interest, Winter interest","Showy, Persistent",Simple,Whorled,Leathery,"Glabrous, Lustrous",Dark-green,"Dark-green, Bronze","Elliptic, Lanceolate, Ovate","Acute, Mucronate",Cuneate,Spinose,"Floriferous, Flowers clustered","Showy, Yellow",,"Apr, May",Berry (true),"Purple, Black, (ovoid fruit to 15 mm long)","Sep, Oct",,Brown,"Seed, Hardwood cuttings, Grafting","Pest resistant, Disease resistant, Dieback, Fungal leaf spot, Mites, Root rot, Rust, Scale insects, Deer resistant, Rabbit resistant"
Berberis spp.,BUR-bur-iss,barberry (GAZW),Berberidaceae,Broadleaf evergreen,,,,Medium - fine,0.7 - 1.3m,1.0 - 1.5m,,,Zone 5: (-29 to -23 C),Full sun,,,"Dryland (no watering), Filler, Group or mass planting, Hedge row, Mixed shrub border, Security/barrier, Woodland margin",This plant may have id as B. verruculosa but it is not glaucous on the underside.,Simple,Alternate,"Leathery, Prickly",,,,Elliptic,Acute,Cuneate,Spinose,,,,,Berry (true),,,,,,
Berberis x stenophylla,BUR-bur-iss ex sten-oh-FIL-uh,narrow-leaf barberry,Berberidaceae,Broadleaf evergreen,"Arching evergreen shrub; leaf narrow lanceolate-linear (canoe-like), spiny tip, edge revolute (turned under), glossy dk-green top/whitish underside; 3 small spines at leaf axil.","Arching, Dense, Twiggy",Round,Medium - fine,2 - 3m,2 - 3m,Moderate,"Garden origin, U.S. - northwest",Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained","Low, Moderate","Dryland (no watering), Filler, Group or mass planting, Hedge row, Mixed shrub border, Screening",Not showy,Simple,Alternate,Leathery,"Glabrous, Lustrous",Dark-green,Dark-green,"Lanceolate, Linear",Mucronate,Attenuate,Entire,"Floriferous, Flowers clustered","Showy, Yellow, Orange",None,Apr,Berry (true),"Blue, Black","Sep, Oct","Smooth, Multi-stem trunk",Brown,"Greenwood cuttings, Softwood cuttings, Hardwood cuttings, Layering","Pest resistant, Disease resistant, Canker or sap rot, Dieback, Fungal leaf spot, Root rot, Deer resistant, Rabbit resistant"
Berberis spp.,BUR-bur-iss,barberry (GAZE),Berberidaceae,Herbaceous perennial,,"Arching, Spreading",Weeping,,0.7 - 1.3m,1.5 - 2.0m,,,Zone 5: (-29 to -23 C),,,,Dryland (no watering),,Simple,Alternate,"Leathery, Prickly",Glabrous,Dark-green,Dark-green,Elliptic,Acute,Cuneate,Spinose,,,,,,,,,,,
Berberis buxifolia 'Nana',BUR-bur-iss buks-ih-FOH-lee-uh,dwarf Magellan barberry,Berberidaceae,Broadleaf evergreen,"Shrub dense, mounding, evergreen; three pointed spine at nodes; leaves about 2 cm long, dark green, obovate, single spine at tip; flowers yellow, April-May.","Arching, Dense","Mounded, Round",Medium - fine,0.4 - 0.7m,0.6 - 1.0m,Slow,"Garden origin, South America (southern Chile, Argentina)",Zone 6: (-23 to -18 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained","Low, Moderate","Alpine, Dryland (no watering), Filler, Group or mass planting, Hedge row, Rock garden, Security/barrier, Sheared hedge, Winter interest",Showy,Simple,Alternate,"Leathery, Pinnate venation, Prickly","Glabrous, Lustrous",Green,Green,Ovate,"Aristate, Mucronate, Obtuse",Acute,Entire,"Floriferous, Flowers paired","Showy, Yellow",None,"Apr, May",Berry (true),"Violet, Dark-red","Jun, Jul","Smooth, Multi-stem trunk","Tan, Brown","Greenwood cuttings, Softwood cuttings","Pest resistant, Disease resistant, Dieback, Fungal leaf spot, Mites, Root rot, Scale insects, Deer resistant, Rabbit resistant"
Berberis julianae,BUR-bur-iss joo-lee-AH-nee,wintergreen barberry,Berberidaceae,Broadleaf evergreen,Large prickly evergreen shrub to 4m tall. Leaves are lanceolate with spiney edge and are grouped in threes at nodes. Tripartite spines to 4 cm long at nodes.,"Dense, Upright",Oval - vertical,Medium,3 - 5m,2 - 3m,Moderate,(w. China),Zone 5: (-29 to -23 C),"Filtered shade, Full sun","Acidic, Well-drained",Moderate,"Dryland (no watering), Hedge row, Mixed shrub border, Screening, Security/barrier",oblong to 8 mm long,Simple,Alternate,"Leathery, Pinnate venation",Lustrous,"Dark-green, leaf underside pale",Bronze,Obovate,Acuminate,Attenuate,"Pectinate, Serrate, Spinose","Floriferous, Flowers clustered","Showy, Yellow, (yellow or red-tinged)",None,"Mar, Apr",Berry (true),"Blue, Black, (black when ripe)","Sep, Oct",Smooth,"Grey, Yellow","Seed, Cuttings","Mites, Root rot, Scale insects, Deer resistant, Rabbit resistant"
Berberis thunbergii,BUR-bur-iss THOON-burg-ee-eye,Japanese barberry,Berberidaceae,Shrub - deciduous,"Deciduous barberry; leaves simple, ovate, entire, to 2 cm long. Winter ID: unbranched spiny stipules.","Dense, Spreading",Round,Medium - fine,1.3 - 2.0m,1.5 - 2.0m,Fast,Garden origin (Japan),Zone 4: (-34 to -29 C),Full sun,Rocky or gravelly or dry,,"Dryland (no watering), Group or mass planting, Hedge row, Security/barrier",2 to 5 florets; umbel-like,Simple,Alternate,"Leathery, Pinnate venation",Glabrous,"Dark-red, Green, Green-yellow",Red,"Obovate, Spatulate","Obtuse, Rounded",Cuneate,Spinose,Raceme,"Red, Yellow",,"May, Jun",Berry (true),Red,"Sep, Oct",Multi-stem trunk,,,"Deer resistant, Rabbit resistant"
